,month,vehicle_class,quota,bids_success,bids_received,premium
98,2011-08,Category D,388.5,386.0,470.5,1944.5
99,2011-08,Category E,348.5,347.5,502.0,68558.5
100,2011-09,Category A,548.0,539.0,872.5,49503.0
101,2011-09,Category B,356.0,354.5,482.5,63945.5
102,2011-09,Category C,246.5,242.0,326.5,30994.5
103,2011-09,Category D,390.0,387.0,512.0,2224.0
104,2011-09,Category E,331.0,330.5,457.5,64045.5
105,2011-10,Category A,557.0,551.5,833.0,53200.5
106,2011-10,Category B,354.5,353.0,578.5,69744.5
107,2011-10,Category C,246.5,238.0,351.0,34906.0
108,2011-10,Category D,390.5,387.0,486.0,2084.5
109,2011-10,Category E,330.5,318.5,485.0,69329.0
110,2011-11,Category A,553.5,544.0,761.0,55442.0
111,2011-11,Category B,354.5,346.5,534.5,77170.0
112,2011-11,Category C,250.0,246.0,350.0,40496.0
113,2011-11,Category D,391.0,374.0,449.0,1950.5
114,2011-11,Category E,342.5,331.5,501.5,76945.0
115,2011-12,Category A,557.5,500.0,829.5,51196.5
116,2011-12,Category B,361.0,359.5,469.0,71176.5
117,2011-12,Category C,245.5,245.5,347.5,39799.0
118,2011-12,Category D,404.0,400.5,453.5,1691.5
119,2011-12,Category E,341.5,310.0,505.0,72670.0
120,2012-01,Category A,605.5,603.0,902.0,47500.5
121,2012-01,Category B,354.5,353.5,524.0,66845.0
122,2012-01,Category C,241.5,237.5,381.0,41350.0
123,2012-01,Category D,390.5,388.0,475.5,1617.0
124,2012-01,Category E,362.0,358.0,534.0,66400.5
125,2012-02,Category A,621.5,589.0,1037.5,54909.0
126,2012-02,Category B,350.5,347.0,607.5,76039.5
127,2012-02,Category C,163.0,153.5,277.5,50902.5
128,2012-02,Category D,412.5,399.0,510.5,1907.0
129,2012-02,Category E,313.0,304.0,466.0,75900.5
130,2012-03,Category A,651.5,637.5,989.5,56526.0
131,2012-03,Category B,353.0,352.0,577.5,80653.5
132,2012-03,Category C,168.5,166.5,244.0,50760.0
133,2012-03,Category D,423.5,420.0,529.0,1745.0
134,2012-03,Category E,318.0,318.0,470.5,78491.0
135,2012-04,Category A,633.0,616.5,985.5,61351.0
136,2012-04,Category B,350.5,348.5,523.0,87350.0
137,2012-04,Category C,161.5,160.5,241.5,55789.0
138,2012-04,Category D,413.5,413.5,534.0,1910.0
139,2012-04,Category E,308.5,301.0,430.0,88300.0
140,2012-05,Category A,635.5,605.0,883.5,60300.5
141,2012-05,Category B,351.5,351.5,513.5,88633.0
142,2012-05,Category C,160.5,160.0,211.5,57829.5
143,2012-05,Category D,410.0,410.0,517.0,1955.5
144,2012-05,Category E,316.0,308.0,500.5,87939.5
145,2012-06,Category A,650.5,612.0,962.0,59003.5
146,2012-06,Category B,349.5,344.0,483.5,84200.0
147,2012-06,Category C,160.0,156.5,250.0,54512.0
148,2012-06,Category D,410.0,380.5,543.0,1812.0
149,2012-06,Category E,316.0,313.0,476.5,85139.0
150,2012-07,Category A,658.5,641.0,891.5,64038.5
151,2012-07,Category B,355.5,355.0,504.0,86395.0
152,2012-07,Category C,163.5,161.5,228.0,55680.5
153,2012-07,Category D,438.5,433.5,561.5,1809.5
154,2012-07,Category E,311.0,300.5,419.5,89849.5
155,2012-08,Category A,410.5,403.0,627.0,70195.0
156,2012-08,Category B,350.5,348.0,510.5,91252.0
157,2012-08,Category C,182.0,179.0,251.0,58167.5
158,2012-08,Category D,452.0,448.5,597.0,2047.0
159,2012-08,Category E,253.5,248.0,327.5,94512.0
160,2012-09,Category A,400.5,396.5,502.0,65500.0
161,2012-09,Category B,353.0,352.0,494.5,84345.5
162,2012-09,Category C,182.5,179.0,249.5,57571.5
163,2012-09,Category D,450.0,442.0,570.5,1826.5
164,2012-09,Category E,248.5,245.0,385.0,88994.5
165,2012-10,Category A,397.0,394.5,507.5,70000.5
166,2012-10,Category B,351.5,351.5,477.0,82901.0
167,2012-10,Category C,183.0,182.5,225.0,56945.0
168,2012-10,Category D,455.0,437.5,618.0,1916.0
169,2012-10,Category E,246.0,237.5,341.5,86944.5
170,2012-11,Category A,395.5,393.0,580.5,77246.0
171,2012-11,Category B,350.5,346.0,530.0,92702.0
172,2012-11,Category C,180.0,178.5,261.0,59673.0
173,2012-11,Category D,464.5,459.5,551.5,1824.0
174,2012-11,Category E,251.0,245.5,376.5,93045.0
175,2012-12,Category A,395.0,378.0,490.5,80206.0
176,2012-12,Category B,355.0,348.5,485.5,91850.5
177,2012-12,Category C,181.5,173.0,261.5,62618.0
178,2012-12,Category D,452.0,437.5,562.0,1656.5
179,2012-12,Category E,248.0,237.0,367.5,96495.0
180,2013-01,Category A,409.5,409.0,522.0,91555.0
181,2013-01,Category B,357.0,357.0,461.0,95855.5
182,2013-01,Category C,188.5,186.0,253.0,58525.5
183,2013-01,Category D,461.5,461.5,526.5,1857.0
184,2013-01,Category E,253.5,252.0,368.5,96995.0
185,2013-02,Category A,334.0,331.0,422.5,82705.0
186,2013-02,Category B,302.5,288.5,420.0,92784.0
187,2013-02,Category C,227.5,227.5,300.5,54239.0
188,2013-02,Category D,506.0,485.5,613.0,1647.0
189,2013-02,Category E,239.5,210.5,332.5,93400.0
190,2013-03,Category A,336.5,333.0,1051.5,69449.0
191,2013-03,Category B,316.5,313.0,984.0,65995.0
192,2013-03,Category C,225.0,224.0,343.0,54005.5
193,2013-03,Category D,526.5,526.5,651.5,1902.0
194,2013-03,Category E,267.0,262.5,835.5,69151.0
195,2013-04,Category A,337.0,336.0,979.5,61763.0
196,2013-04,Category B,306.0,284.0,759.0,64505.0
197,2013-04,Category C,226.0,222.5,344.0,57256.5
198,2013-04,Category D,506.0,458.5,612.5,1801.5
199,2013-04,Category E,242.5,235.5,435.5,64494.5
200,2013-05,Category A,334.5,326.5,900.0,63919.0
201,2013-05,Category B,324.5,323.0,675.0,64502.0
202,2013-05,Category C,229.0,227.5,300.0,56970.0
203,2013-05,Category D,553.5,527.0,680.5,1681.5
204,2013-05,Category E,245.0,238.5,456.5,64501.0
205,2013-06,Category A,341.5,338.5,821.5,68602.0
206,2013-06,Category B,303.5,289.0,733.0,78375.5
207,2013-06,Category C,227.0,223.5,290.5,58495.0
208,2013-06,Category D,532.5,506.5,631.5,1706.5
209,2013-06,Category E,245.0,219.5,500.0,79500.5
210,2013-07,Category A,336.0,330.0,668.5,73544.5
211,2013-07,Category B,317.0,313.0,613.0,76749.5
212,2013-07,Category C,229.0,226.0,318.0,63023.5
213,2013-07,Category D,532.0,526.0,665.5,1661.0
214,2013-07,Category E,264.0,260.5,455.0,76901.0
215,2013-08,Category A,369.5,365.5,675.0,75889.5
216,2013-08,Category B,377.5,372.0,654.5,77103.5
217,2013-08,Category C,260.5,257.0,374.5,69626.0
218,2013-08,Category D,486.5,465.0,591.5,1757.0
219,2013-08,Category E,264.0,262.5,396.0,78606.0
220,2013-09,Category A,368.0,363.0,631.5,80527.5
221,2013-09,Category B,379.0,373.0,663.0,81669.5
222,2013-09,Category C,260.5,255.5,330.5,75000.0
223,2013-09,Category D,502.0,501.0,574.0,1681.5
224,2013-09,Category E,262.0,217.0,445.0,83500.5
225,2013-10,Category A,369.0,367.0,605.5,80944.5
226,2013-10,Category B,379.0,374.5,582.0,90705.0
227,2013-10,Category C,262.0,261.5,336.5,72156.0
228,2013-10,Category D,481.5,478.0,576.5,1882.5
229,2013-10,Category E,305.5,297.0,410.0,93089.0
230,2013-11,Category A,366.0,364.5,620.0,73800.0
231,2013-11,Category B,377.5,375.5,509.0,81939.0
232,2013-11,Category C,257.5,254.0,412.0,55252.5
233,2013-11,Category D,484.0,462.0,556.0,1711.0
234,2013-11,Category E,269.5,264.5,394.5,86000.5
235,2013-12,Category A,365.5,363.5,582.5,73581.0
236,2013-12,Category B,375.0,358.5,524.5,74355.0
237,2013-12,Category C,260.5,256.5,348.5,49556.5
238,2013-12,Category D,502.5,487.0,663.5,1797.0
239,2013-12,Category E,266.0,266.0,370.0,77201.0
240,2014-01,Category A,366.0,362.5,673.5,72329.5
241,2014-01,Category B,389.5,382.5,546.5,78850.0
242,2014-01,Category C,261.0,250.5,346.5,49445.0
243,2014-01,Category D,496.0,495.0,669.0,2346.5
244,2014-01,Category E,261.0,251.5,382.5,78905.0
245,2014-02,Category A,362.0,357.0,709.5,74382.5
246,2014-02,Category B,357.5,356.5,521.0,76952.0
247,2014-02,Category C,272.0,268.5,378.0,51946.0
248,2014-02,Category D,360.5,356.0,514.0,3276.0
249,2014-02,Category E,200.5,198.0,336.0,78001.5
250,2014-03,Category A,363.5,358.0,596.0,77800.5
251,2014-03,Category B,351.5,344.5,511.5,81805.0
252,2014-03,Category C,265.5,259.0,397.5,55096.5
253,2014-03,Category D,364.0,347.5,466.0,4145.0
254,2014-03,Category E,193.0,188.5,292.5,83000.5
255,2014-04,Category A,364.0,358.5,525.0,74367.5
256,2014-04,Category B,357.0,356.0,504.5,79757.0
257,2014-04,Category C,268.5,263.5,347.5,41196.5
258,2014-04,Category D,376.5,369.0,506.0,4495.5
259,2014-04,Category E,195.5,194.5,296.5,78955.0
260,2014-05,Category A,511.0,509.0,836.5,62845.5
261,2014-05,Category B,483.5,474.5,747.0,69052.5
262,2014-05,Category C,390.5,387.5,712.0,38595.0
263,2014-05,Category D,350.5,328.0,468.5,4002.0
264,2014-05,Category E,294.5,290.0,511.0,66395.5
265,2014-06,Category A,508.0,502.5,1040.0,62544.5
266,2014-06,Category B,492.0,479.5,761.5,66502.0
267,2014-06,Category C,388.0,381.5,607.0,42501.0
268,2014-06,Category D,365.5,363.5,476.0,3989.5
269,2014-06,Category E,297.5,284.0,449.5,66317.5
270,2014-07,Category A,511.0,508.0,1132.5,62440.0
271,2014-07,Category B,495.5,494.0,831.0,64945.0
272,2014-07,Category C,391.5,387.0,716.0,47700.0
273,2014-07,Category D,345.5,342.0,412.5,4126.5
274,2014-07,Category E,306.5,302.5,462.0,64001.5
275,2014-08,Category A,574.5,574.0,1040.0,65155.0
276,2014-08,Category B,506.5,501.5,1113.5,70839.5
277,2014-08,Category C,262.0,260.5,473.0,53199.5
278,2014-08,Category D,319.0,316.0,360.5,4353.5
279,2014-08,Category E,243.0,233.5,393.5,70905.5
280,2014-09,Category A,572.5,570.5,802.5,63420.5
281,2014-09,Category B,510.0,509.0,847.0,72500.0
282,2014-09,Category C,259.5,254.0,433.0,49895.0
283,2014-09,Category D,318.0,317.0,388.0,4478.5
284,2014-09,Category E,248.5,243.5,390.0,74602.0
285,2014-10,Category A,573.5,569.5,1094.5,63935.0
286,2014-10,Category B,506.0,503.5,837.0,72091.0
287,2014-10,Category C,263.0,261.5,466.0,59194.5
288,2014-10,Category D,316.5,313.0,466.5,4606.0
289,2014-10,Category E,243.5,239.0,362.5,72102.0
290,2014-11,Category A,702.0,693.0,1170.0,66394.5
291,2014-11,Category B,572.0,559.5,866.0,71890.0
292,2014-11,Category C,142.5,138.5,258.5,64351.0
293,2014-11,Category D,320.0,318.5,384.5,4239.5
294,2014-11,Category E,267.5,267.0,392.5,72600.0
295,2014-12,Category A,707.0,701.0,932.0,66489.0
296,2014-12,Category B,581.5,577.0,814.0,74194.5
297,2014-12,Category C,145.0,137.5,232.0,56050.5
298,2014-12,Category D,318.5,292.0,379.5,4261.0
299,2014-12,Category E,264.5,260.5,408.0,75447.0
300,2015-01,Category A,704.5,700.5,1004.0,65505.5
301,2015-01,Category B,573.5,573.0,874.0,76089.0
302,2015-01,Category C,148.0,147.0,271.5,55011.5
303,2015-01,Category D,343.5,339.5,441.5,4646.0
304,2015-01,Category E,268.0,255.5,408.5,75995.0
305,2015-02,Category A,990.0,989.5,1294.5,59600.5
306,2015-02,Category B,723.0,722.0,998.0,68820.5
307,2015-02,Category C,185.0,184.0,322.0,52651.5
308,2015-02,Category D,289.0,286.5,390.0,5652.0
309,2015-02,Category E,187.0,187.0,330.5,69911.0
310,2015-03,Category A,987.0,986.5,2185.5,63055.0
311,2015-03,Category B,723.0,720.0,1296.5,70278.5
312,2015-03,Category C,185.0,179.0,330.0,58250.0
313,2015-03,Category D,287.5,287.0,364.0,5555.5
314,2015-03,Category E,174.5,167.0,306.0,71300.0
315,2015-04,Category A,987.5,974.5,2197.5,67675.0
316,2015-04,Category B,725.0,712.0,1593.0,77306.5
317,2015-04,Category C,191.0,187.5,287.0,58501.0
318,2015-04,Category D,285.5,277.5,409.0,6556.5
319,2015-04,Category E,181.5,164.0,321.0,78750.0
320,2015-05,Category A,1439.0,1434.5,2621.0,67589.5
321,2015-05,Category B,941.0,941.0,1516.0,76301.0
322,2015-05,Category C,371.5,367.5,545.5,51049.5
323,2015-05,Category D,334.0,309.5,447.5,6506.5
324,2015-05,Category E,287.5,285.5,404.5,78002.5
325,2015-06,Category A,1430.5,1407.0,1854.5,63500.0
326,2015-06,Category B,928.5,924.5,1264.0,73254.5
327,2015-06,Category C,372.0,369.5,494.5,50701.0
328,2015-06,Category D,351.0,347.5,439.0,6455.0
329,2015-06,Category E,272.0,268.0,382.5,75151.0
330,2015-07,Category A,1450.5,1414.5,1928.5,57294.5
331,2015-07,Category B,932.0,931.0,1221.5,61805.0
332,2015-07,Category C,370.5,370.5,465.5,50001.5
333,2015-07,Category D,330.5,324.0,455.5,6410.0
334,2015-07,Category E,273.0,271.0,426.0,64551.0
335,2015-08,Category A,1722.0,1721.5,2521.5,56853.5
336,2015-08,Category B,1057.5,1055.0,1592.5,61464.5
337,2015-08,Category C,182.5,182.5,272.5,47901.5
338,2015-08,Category D,361.0,337.5,472.5,6156.5
339,2015-08,Category E,363.0,358.5,608.0,59443.0
340,2015-09,Category A,1687.5,1686.0,2414.5,56244.0
341,2015-09,Category B,1058.5,1049.5,1499.5,61051.0
342,2015-09,Category C,182.0,177.0,363.5,46045.0
343,2015-09,Category D,378.5,356.0,491.0,6335.0
344,2015-09,Category E,365.5,363.0,561.0,61155.0
345,2015-10,Category A,1688.5,1681.5,2219.5,56651.0
346,2015-10,Category B,1065.0,1056.5,1370.0,59039.5
347,2015-10,Category C,187.0,183.5,335.5,43596.5
348,2015-10,Category D,377.5,375.5,434.0,6251.5
349,2015-10,Category E,363.5,358.0,583.0,59400.5
350,2015-11,Category A,1663.0,1636.5,2074.5,57600.5
351,2015-11,Category B,1033.0,1028.5,1327.5,59302.0
352,2015-11,Category C,244.0,242.0,380.5,44849.5
353,2015-11,Category D,329.0,312.5,419.0,6207.0
354,2015-11,Category E,366.0,364.0,512.0,61354.0
355,2015-12,Category A,1683.5,1681.5,2055.0,55645.0
356,2015-12,Category B,1029.0,1026.5,1262.0,57501.0
357,2015-12,Category C,242.5,239.5,328.0,47051.0
358,2015-12,Category D,343.5,343.0,404.0,6550.5
359,2015-12,Category E,362.0,361.0,503.5,58752.0
360,2016-01,Category A,1659.0,1643.5,2725.0,48151.5
361,2016-01,Category B,1026.5,1022.5,1298.0,52504.5
362,2016-01,Category C,244.0,242.0,370.0,44269.0
363,2016-01,Category D,327.5,319.5,412.0,6700.5
364,2016-01,Category E,361.0,355.5,605.5,53044.5
365,2016-02,Category A,2043.5,2029.0,2968.5,44825.5
366,2016-02,Category B,1212.0,1206.5,2261.0,42790.0
367,2016-02,Category C,164.5,162.0,234.0,45018.5
368,2016-02,Category D,365.0,364.5,474.5,6428.0
369,2016-02,Category E,451.0,446.5,848.5,44505.0
370,2016-03,Category A,2043.0,1988.5,3677.0,45252.0
371,2016-03,Category B,1214.5,1209.0,2598.5,47053.0
372,2016-03,Category C,164.5,163.0,242.5,47696.0
373,2016-03,Category D,357.0,356.0,429.5,6546.0
374,2016-03,Category E,450.5,378.5,931.5,47334.5
375,2016-04,Category A,2083.5,2082.0,3523.0,46654.5
376,2016-04,Category B,1214.5,1177.0,2305.5,48301.0
377,2016-04,Category C,163.5,161.5,238.0,43607.5
