month,vehicle_class,quota,bids_success,bids_received,premium,coe_indexed_monthly,coe_indexed_2010-01
2011-04-01,Category B,424.0,416.0,584.5,55901.0,130.76,268.819
2011-04-01,Category C,276.5,272.0,331.0,26044.5,72.279,133.251
2011-04-01,Category D,333.0,330.5,489.0,2496.0,201.778,286.732
2011-04-01,Category E,335.5,334.5,469.0,56550.5,122.932,270.654
2011-05-01,Category A,517.0,516.0,852.0,45889.5,171.578,235.313
2011-05-01,Category B,431.5,431.5,607.0,56155.5,154.698,270.043
2011-05-01,Category C,280.0,278.0,373.5,22439.0,72.513,114.804
2011-05-01,Category D,328.0,326.0,483.5,2133.0,166.381,245.032
2011-05-01,Category E,330.5,321.5,484.0,56689.5,145.354,271.32
2011-06-01,Category A,511.0,509.0,797.5,51817.0,168.344,265.708
2011-06-01,Category B,423.5,406.5,721.5,65350.0,163.553,314.258
2011-06-01,Category C,277.5,273.0,424.0,30047.5,97.119,153.731
2011-06-01,Category D,327.5,324.5,437.0,2390.5,164.522,274.612
2011-06-01,Category E,338.5,314.5,499.0,63745.0,155.464,305.088
2011-07-01,Category A,512.0,499.0,807.5,55995.5,170.554,287.134
2011-07-01,Category B,440.5,440.0,677.0,70501.0,178.941,339.029
2011-07-01,Category C,280.0,278.5,384.0,33546.0,108.23,171.63
2011-07-01,Category D,328.5,327.5,432.5,2186.0,167.51,251.12
2011-07-01,Category E,353.5,335.0,484.0,71650.5,169.437,342.924
2011-08-01,Category A,561.5,561.5,980.5,49051.0,160.549,251.524
2011-08-01,Category B,353.5,351.0,498.0,68205.5,158.352,327.99
2011-08-01,Category C,243.0,238.0,375.0,33149.0,110.287,169.599
2011-08-01,Category D,388.5,386.0,470.5,1944.5,152.39,223.377
2011-08-01,Category E,348.5,347.5,502.0,68558.5,158.697,328.125
2011-09-01,Category A,548.0,539.0,872.5,49503.0,156.928,253.842
2011-09-01,Category B,356.0,354.5,482.5,63945.5,147.629,307.504
2011-09-01,Category C,246.5,242.0,326.5,30994.5,96.856,158.576
2011-09-01,Category D,390.0,387.0,512.0,2224.0,150.575,255.485
2011-09-01,Category E,331.0,330.5,457.5,64045.5,146.74,306.526
2011-10-01,Category A,557.0,551.5,833.0,53200.5,162.328,272.802
2011-10-01,Category B,354.5,353.0,578.5,69744.5,159.597,335.391
2011-10-01,Category C,246.5,238.0,351.0,34906.0,113.7,178.588
2011-10-01,Category D,390.5,387.0,486.0,2084.5,130.649,239.46
2011-10-01,Category E,330.5,318.5,485.0,69329.0,155.813,331.813
2011-11-01,Category A,553.5,544.0,761.0,55442.0,151.894,284.296
2011-11-01,Category B,354.5,346.5,534.5,77170.0,165.262,371.099
2011-11-01,Category C,250.0,246.0,350.0,40496.0,130.195,207.188
2011-11-01,Category D,391.0,374.0,449.0,1950.5,132.058,224.067
2011-11-01,Category E,342.5,331.5,501.5,76945.0,160.484,368.264
2011-12-01,Category A,557.5,500.0,829.5,51196.5,109.239,262.526
2011-12-01,Category B,361.0,359.5,469.0,71176.5,105.836,342.277
2011-12-01,Category C,245.5,245.5,347.5,39799.0,121.52,203.622
2011-12-01,Category D,404.0,400.5,453.5,1691.5,104.028,194.314
2011-12-01,Category E,341.5,310.0,505.0,72670.0,103.077,347.803
2012-01-01,Category A,605.5,603.0,902.0,47500.5,243.574,243.574
2012-01-01,Category B,354.5,353.5,524.0,66845.0,321.447,321.447
2012-01-01,Category C,241.5,237.5,381.0,41350.0,211.558,211.558
2012-01-01,Category D,390.5,388.0,475.5,1617.0,185.755,185.755
2012-01-01,Category E,362.0,358.0,534.0,66400.5,317.797,317.797
2012-02-01,Category A,621.5,589.0,1037.5,54909.0,272.305,281.563
2012-02-01,Category B,350.5,347.0,607.5,76039.5,323.098,365.662
2012-02-01,Category C,163.0,153.5,277.5,50902.5,226.783,260.431
2012-02-01,Category D,412.5,399.0,510.5,1907.0,205.828,219.07
2012-02-01,Category E,313.0,304.0,466.0,75900.5,325.544,363.265
2012-03-01,Category A,651.5,637.5,989.5,56526.0,229.823,289.855
2012-03-01,Category B,353.0,352.0,577.5,80653.5,258.182,387.85
2012-03-01,Category C,168.5,166.5,244.0,50760.0,169.508,259.702
2012-03-01,Category D,423.5,420.0,529.0,1745.0,147.944,200.46
2012-03-01,Category E,318.0,318.0,470.5,78491.0,225.578,375.663
2012-04-01,Category A,633.0,616.5,985.5,61351.0,191.719,314.596
2012-04-01,Category B,350.5,348.5,523.0,87350.0,204.323,420.053
2012-04-01,Category C,161.5,160.5,241.5,55789.0,154.825,285.431
2012-04-01,Category D,413.5,413.5,534.0,1910.0,154.406,219.414
2012-04-01,Category E,308.5,301.0,430.0,88300.0,191.95,422.609
2012-05-01,Category A,635.5,605.0,883.5,60300.5,225.46,309.21
2012-05-01,Category B,351.5,351.5,513.5,88633.0,244.168,426.223
2012-05-01,Category C,160.5,160.0,211.5,57829.5,186.878,295.871
2012-05-01,Category D,410.0,410.0,517.0,1955.5,152.535,224.641
2012-05-01,Category E,316.0,308.0,500.5,87939.5,225.48,420.884
2012-06-01,Category A,650.5,612.0,962.0,59003.5,191.691,302.559
2012-06-01,Category B,349.5,344.0,483.5,84200.0,210.729,404.905
2012-06-01,Category C,160.0,156.5,250.0,54512.0,176.192,278.898
2012-06-01,Category D,410.0,380.5,543.0,1812.0,124.708,208.156
2012-06-01,Category E,316.0,313.0,476.5,85139.0,207.641,407.481
2012-07-01,Category A,658.5,641.0,891.5,64038.5,195.052,328.377
2012-07-01,Category B,355.5,355.0,504.0,86395.0,219.282,415.46
2012-07-01,Category C,163.5,161.5,228.0,55680.5,179.643,284.876
2012-07-01,Category D,438.5,433.5,561.5,1809.5,138.659,207.869
2012-07-01,Category E,311.0,300.5,419.5,89849.5,212.473,430.025
2012-08-01,Category A,410.5,403.0,627.0,70195.0,229.756,359.947
2012-08-01,Category B,350.5,348.0,510.5,91252.0,211.859,438.817
2012-08-01,Category C,182.0,179.0,251.0,58167.5,193.524,297.6
2012-08-01,Category D,452.0,448.5,597.0,2047.0,160.423,235.152
2012-08-01,Category E,253.5,248.0,327.5,94512.0,218.773,452.34
2012-09-01,Category A,400.5,396.5,502.0,65500.0,207.64,335.872
2012-09-01,Category B,353.0,352.0,494.5,84345.5,194.726,405.605
2012-09-01,Category C,182.5,179.0,249.5,57571.5,179.908,294.551
2012-09-01,Category D,450.0,442.0,570.5,1826.5,123.663,209.822
2012-09-01,Category E,248.5,245.0,385.0,88994.5,203.903,425.933
2012-10-01,Category A,397.0,394.5,507.5,70000.5,213.589,358.949
2012-10-01,Category B,351.5,351.5,477.0,82901.0,189.703,398.658
2012-10-01,Category C,183.0,182.5,225.0,56945.0,185.489,291.346
2012-10-01,Category D,455.0,437.5,618.0,1916.0,120.088,220.103
2012-10-01,Category E,246.0,237.5,341.5,86944.5,195.403,416.122
2012-11-01,Category A,395.5,393.0,580.5,77246.0,211.63,396.103
2012-11-01,Category B,350.5,346.0,530.0,92702.0,198.524,445.79
2012-11-01,Category C,180.0,178.5,261.0,59673.0,191.85,305.303
2012-11-01,Category D,464.5,459.5,551.5,1824.0,123.494,209.535
2012-11-01,Category E,251.0,245.5,376.5,93045.0,194.064,445.319
2012-12-01,Category A,395.0,378.0,490.5,80206.0,171.137,411.281
2012-12-01,Category B,355.0,348.5,485.5,91850.5,136.578,441.695
2012-12-01,Category C,181.5,173.0,261.5,62618.0,191.194,320.37
2012-12-01,Category D,452.0,437.5,562.0,1656.5,101.876,190.293
2012-12-01,Category E,248.0,237.0,367.5,96495.0,136.87,461.831
2013-01-01,Category A,409.5,409.0,522.0,91555.0,469.477,469.477
2013-01-01,Category B,357.0,357.0,461.0,95855.5,460.955,460.955
2013-01-01,Category C,188.5,186.0,253.0,58525.5,299.432,299.432
2013-01-01,Category D,461.5,461.5,526.5,1857.0,213.326,213.326
2013-01-01,Category E,253.5,252.0,368.5,96995.0,464.224,464.224
2013-02-01,Category A,334.0,331.0,422.5,82705.0,410.152,424.096
2013-02-01,Category B,302.5,288.5,420.0,92784.0,394.247,446.184
2013-02-01,Category C,227.5,227.5,300.5,54239.0,241.648,277.501
2013-02-01,Category D,506.0,485.5,613.0,1647.0,177.766,189.202
2013-02-01,Category E,239.5,210.5,332.5,93400.0,400.6,447.018
2013-03-01,Category A,336.5,333.0,1051.5,69449.0,282.365,356.121
2013-03-01,Category B,316.5,313.0,984.0,65995.0,211.258,317.36
2013-03-01,Category C,225.0,224.0,343.0,54005.5,180.346,276.307
2013-03-01,Category D,526.5,526.5,651.5,1902.0,161.255,218.495
2013-03-01,Category E,267.0,262.5,835.5,69151.0,198.735,330.961
2013-04-01,Category A,337.0,336.0,979.5,61763.0,193.006,316.709
2013-04-01,Category B,306.0,284.0,759.0,64505.0,150.885,310.195
2013-04-01,Category C,226.0,222.5,344.0,57256.5,158.898,292.94
2013-04-01,Category D,506.0,458.5,612.5,1801.5,145.635,206.95
2013-04-01,Category E,242.5,235.5,435.5,64494.5,140.201,308.675
2013-05-01,Category A,334.5,326.5,900.0,63919.0,238.99,327.765
2013-05-01,Category B,324.5,323.0,675.0,64502.0,177.691,310.18
2013-05-01,Category C,229.0,227.5,300.0,56970.0,184.101,291.474
2013-05-01,Category D,553.5,527.0,680.5,1681.5,131.162,193.165
2013-05-01,Category E,245.0,238.5,456.5,64501.0,165.383,308.706
2013-06-01,Category A,341.5,338.5,821.5,68602.0,222.875,351.778
2013-06-01,Category B,303.5,289.0,733.0,78375.5,196.152,376.896
2013-06-01,Category C,227.0,223.5,290.5,58495.0,189.066,299.276
2013-06-01,Category D,532.5,506.5,631.5,1706.5,117.447,196.037
2013-06-01,Category E,245.0,219.5,500.0,79500.5,193.889,380.494
2013-07-01,Category A,336.0,330.0,668.5,73544.5,224.006,377.122
2013-07-01,Category B,317.0,313.0,613.0,76749.5,194.801,369.077
2013-07-01,Category C,229.0,226.0,318.0,63023.5,203.334,322.445
2013-07-01,Category D,532.0,526.0,665.5,1661.0,127.28,190.81
2013-07-01,Category E,264.0,260.5,455.0,76901.0,181.853,368.053
2013-08-01,Category A,369.5,365.5,675.0,75889.5,248.395,389.147
2013-08-01,Category B,377.5,372.0,654.5,77103.5,179.011,370.779
2013-08-01,Category C,260.5,257.0,374.5,69626.0,231.647,356.225
2013-08-01,Category D,486.5,465.0,591.5,1757.0,137.696,201.838
2013-08-01,Category E,264.0,262.5,396.0,78606.0,181.954,376.213
2013-09-01,Category A,368.0,363.0,631.5,80527.5,255.278,412.93
2013-09-01,Category B,379.0,373.0,663.0,81669.5,188.548,392.736
2013-09-01,Category C,260.5,255.5,330.5,75000.0,234.371,383.72
2013-09-01,Category D,502.0,501.0,574.0,1681.5,113.846,193.165
2013-09-01,Category E,262.0,217.0,445.0,83500.5,191.315,399.639
2013-10-01,Category A,369.0,367.0,605.5,80944.5,246.982,415.068
2013-10-01,Category B,379.0,374.5,582.0,90705.0,207.561,436.187
2013-10-01,Category C,262.0,261.5,336.5,72156.0,235.036,369.169
2013-10-01,Category D,481.5,478.0,576.5,1882.5,117.988,216.255
2013-10-01,Category E,305.5,297.0,410.0,93089.0,209.212,445.53
2013-11-01,Category A,366.0,364.5,620.0,73800.0,202.189,378.432
2013-11-01,Category B,377.5,375.5,509.0,81939.0,175.475,394.032
2013-11-01,Category C,257.5,254.0,412.0,55252.5,177.638,282.687
2013-11-01,Category D,484.0,462.0,556.0,1711.0,115.843,196.554
2013-11-01,Category E,269.5,264.5,394.5,86000.5,179.371,411.604
2013-12-01,Category A,365.5,363.5,582.5,73581.0,157.001,377.309
2013-12-01,Category B,375.0,358.5,524.5,74355.0,110.563,357.562
2013-12-01,Category C,260.5,256.5,348.5,49556.5,151.313,253.544
2013-12-01,Category D,502.5,487.0,663.5,1797.0,110.517,206.433
2013-12-01,Category E,266.0,266.0,370.0,77201.0,109.503,369.489
2014-01-01,Category A,366.0,362.5,673.5,72329.5,370.892,370.892
2014-01-01,Category B,389.5,382.5,546.5,78850.0,379.178,379.178
2014-01-01,Category C,261.0,250.5,346.5,49445.0,252.974,252.974
2014-01-01,Category D,496.0,495.0,669.0,2346.5,269.558,269.558
2014-01-01,Category E,261.0,251.5,382.5,78905.0,377.644,377.644
2014-02-01,Category A,362.0,357.0,709.5,74382.5,368.878,381.419
2014-02-01,Category B,357.5,356.5,521.0,76952.0,326.975,370.05
2014-02-01,Category C,272.0,268.5,378.0,51946.0,231.432,265.77
2014-02-01,Category D,360.5,356.0,514.0,3276.0,353.589,376.335
2014-02-01,Category E,200.5,198.0,336.0,78001.5,334.555,373.32
2014-03-01,Category A,363.5,358.0,596.0,77800.5,316.32,398.946
2014-03-01,Category B,351.5,344.5,511.5,81805.0,261.868,393.388
2014-03-01,Category C,265.5,259.0,397.5,55096.5,183.989,281.888
2014-03-01,Category D,364.0,347.5,466.0,4145.0,351.42,476.163
2014-03-01,Category E,193.0,188.5,292.5,83000.5,238.538,397.246
2014-04-01,Category A,364.0,358.5,525.0,74367.5,232.395,381.342
2014-04-01,Category B,357.0,356.0,504.5,79757.0,186.562,383.539
2014-04-01,Category C,268.5,263.5,347.5,41196.5,114.328,210.772
2014-04-01,Category D,376.5,369.0,506.0,4495.5,363.42,516.427
2014-04-01,Category E,195.5,194.5,296.5,78955.0,171.636,377.884
2014-05-01,Category A,511.0,509.0,836.5,62845.5,234.976,322.26
2014-05-01,Category B,483.5,474.5,747.0,69052.5,190.227,332.063
2014-05-01,Category C,390.5,387.5,712.0,38595.0,124.721,197.462
2014-05-01,Category D,350.5,328.0,468.5,4002.0,312.168,459.736
2014-05-01,Category E,294.5,290.0,511.0,66395.5,170.241,317.773
2014-06-01,Category A,508.0,502.5,1040.0,62544.5,203.195,320.716
2014-06-01,Category B,492.0,479.5,761.5,66502.0,166.436,319.798
2014-06-01,Category C,388.0,381.5,607.0,42501.0,137.37,217.446
2014-06-01,Category D,365.5,363.5,476.0,3989.5,274.57,458.3
2014-06-01,Category E,297.5,284.0,449.5,66317.5,161.738,317.4
2014-07-01,Category A,511.0,508.0,1132.5,62440.0,190.183,320.18
2014-07-01,Category B,495.5,494.0,831.0,64945.0,164.839,312.311
2014-07-01,Category C,391.5,387.0,716.0,47700.0,153.896,244.046
2014-07-01,Category D,345.5,342.0,412.5,4126.5,316.207,474.038
2014-07-01,Category E,306.5,302.5,462.0,64001.5,151.349,306.315
2014-08-01,Category A,574.5,574.0,1040.0,65155.0,213.259,334.103
2014-08-01,Category B,506.5,501.5,1113.5,70839.5,164.468,340.656
2014-08-01,Category C,262.0,260.5,473.0,53199.5,176.995,272.183
2014-08-01,Category D,319.0,316.0,360.5,4353.5,341.183,500.115
2014-08-01,Category E,243.0,233.5,393.5,70905.5,164.129,339.358
2014-09-01,Category A,572.5,570.5,802.5,63420.5,201.048,325.208
2014-09-01,Category B,510.0,509.0,847.0,72500.0,167.379,348.642
2014-09-01,Category C,259.5,254.0,433.0,49895.0,155.919,255.276
2014-09-01,Category D,318.0,317.0,388.0,4478.5,303.216,514.474
2014-09-01,Category E,248.5,243.5,390.0,74602.0,170.927,357.05
2014-10-01,Category A,573.5,569.5,1094.5,63935.0,195.081,327.847
2014-10-01,Category B,506.0,503.5,837.0,72091.0,164.966,346.675
2014-10-01,Category C,263.0,261.5,466.0,59194.5,192.816,302.855
2014-10-01,Category D,316.5,313.0,466.5,4606.0,288.687,529.121
2014-10-01,Category E,243.5,239.0,362.5,72102.0,162.045,345.085
2014-11-01,Category A,702.0,693.0,1170.0,66394.5,181.9,340.458
2014-11-01,Category B,572.0,559.5,866.0,71890.0,153.955,345.708
2014-11-01,Category C,142.5,138.5,258.5,64351.0,206.89,329.237
2014-11-01,Category D,320.0,318.5,384.5,4239.5,287.035,487.019
2014-11-01,Category E,267.5,267.0,392.5,72600.0,151.422,347.468
2014-12-01,Category A,707.0,701.0,932.0,66489.0,141.869,340.943
2014-12-01,Category B,581.5,577.0,814.0,74194.5,110.324,356.79
2014-12-01,Category C,145.0,137.5,232.0,56050.5,171.141,286.769
2014-12-01,Category D,318.5,292.0,379.5,4261.0,262.054,489.489
2014-12-01,Category E,264.5,260.5,408.0,75447.0,107.016,361.094
2015-01-01,Category A,704.5,700.5,1004.0,65505.5,335.9,335.9
2015-01-01,Category B,573.5,573.0,874.0,76089.0,365.9,365.9
2015-01-01,Category C,148.0,147.0,271.5,55011.5,281.454,281.454
2015-01-01,Category D,343.5,339.5,441.5,4646.0,533.716,533.716
2015-01-01,Category E,268.0,255.5,408.5,75995.0,363.717,363.717
2015-02-01,Category A,990.0,989.5,1294.5,59600.5,295.571,305.62
2015-02-01,Category B,723.0,722.0,998.0,68820.5,292.424,330.947
2015-02-01,Category C,185.0,184.0,322.0,52651.5,234.575,269.379
2015-02-01,Category D,289.0,286.5,390.0,5652.0,610.038,649.282
2015-02-01,Category E,187.0,187.0,330.5,69911.0,299.854,334.598
2015-03-01,Category A,987.0,986.5,2185.5,63055.0,256.368,323.334
2015-03-01,Category B,723.0,720.0,1296.5,70278.5,224.97,337.959
2015-03-01,Category C,185.0,179.0,330.0,58250.0,194.52,298.023
2015-03-01,Category D,287.5,287.0,364.0,5555.5,471.005,638.196
2015-03-01,Category E,174.5,167.0,306.0,71300.0,204.912,341.246
2015-04-01,Category A,987.5,974.5,2197.5,67675.0,211.481,347.025
2015-04-01,Category B,725.0,712.0,1593.0,77306.5,180.83,371.755
2015-04-01,Category C,191.0,187.5,287.0,58501.0,162.352,299.307
2015-04-01,Category D,285.5,277.5,409.0,6556.5,530.032,753.188
2015-04-01,Category E,181.5,164.0,321.0,78750.0,171.19,376.902
2015-05-01,Category A,1439.0,1434.5,2621.0,67589.5,252.714,346.586
2015-05-01,Category B,941.0,941.0,1516.0,76301.0,210.196,366.92
2015-05-01,Category C,371.5,367.5,545.5,51049.5,164.968,261.183
2015-05-01,Category D,334.0,309.5,447.5,6506.5,507.527,747.444
2015-05-01,Category E,287.5,285.5,404.5,78002.5,200.001,373.325
2015-06-01,Category A,1430.5,1407.0,1854.5,63500.0,206.299,325.616
2015-06-01,Category B,928.5,924.5,1264.0,73254.5,183.336,352.27
2015-06-01,Category C,372.0,369.5,494.5,50701.0,163.874,259.4
2015-06-01,Category D,351.0,347.5,439.0,6455.0,444.253,741.528
2015-06-01,Category E,272.0,268.0,382.5,75151.0,183.282,359.677
2015-07-01,Category A,1450.5,1414.5,1928.5,57294.5,174.511,293.795
2015-07-01,Category B,932.0,931.0,1221.5,61805.0,156.869,297.211
2015-07-01,Category C,370.5,370.5,465.5,50001.5,161.321,255.821
2015-07-01,Category D,330.5,324.0,455.5,6410.0,491.188,736.358
